Year,Country,E_Govt_Index,E_Govt_Rank
2022,Belgium ,0.8269,39
2022,Portugal ,0.8273,38
2022,Italy ,0.8375,37
2022,Chile ,0.8377,36
2022,Uruguay ,0.8388,35
2022,Poland ,0.8437,34
2022,Greece ,0.8455,33
2022,Canada ,0.8511,32
2022,Saudi Arabia ,0.8539,31
2022,Ireland ,0.8567,30
2022,Latvia ,0.8599,29
2022,Cyprus ,0.866,27
2022,Luxembourg,0.8675,26
2022,Liechtenstein,0.8685,25
2022,Lithuania ,0.8745,24
2022,Switzerland ,0.8752,23
2022,Germany ,0.877,22
2022,Slovenia ,0.8781,21
2022,Austria,0.8801,20
2022,France,0.8832,19
2022,Spain ,0.8842,18
2022,Norway ,0.8879,17
2022,Israel ,0.8885,16
2022,Malta ,0.8943,15
2022,Japan ,0.9002,14
2022,United Arab Emirates ,0.901,13
2022,Singapore ,0.9133,12
2022,United Kingdom,0.9138,11
2022,United States of America ,0.9151,10
2022,Netherlands ,0.9384,9
2022,Estonia ,0.9393,8
2022,Australia ,0.9405,7
2022,Iceland ,0.941,5
2022,Sweden ,0.941,5
2022,New Zealand ,0.9432,4
2022,Republic of Korea ,0.9529,3
2022,Finland ,0.9533,2
2022,Denmark ,0.9717,1
