Country,Online_Serv_Index,Rank
Poland ,0.7929,30
Portugal ,0.7954,29
Norway ,0.8007,28
Latvia ,0.8135,27
Saudi Arabia ,0.822,26
Chile ,0.828,25
Luxembourg,0.8319,24
Lithuania ,0.8347,23
Canada ,0.8504,22
Spain ,0.8559,21
Italy ,0.8659,20
Slovenia ,0.8666,19
Israel ,0.8745,18
France,0.8768,17
Austria,0.8827,16
Malta ,0.8849,15
United Kingdom ,0.8859,14
Iceland ,0.8867,13
Sweden ,0.9002,12
United Arab Emirates ,0.9014,11
Netherlands ,0.9026,10
Japan ,0.9094,9
United States of America ,0.9304,8
Australia ,0.938,7
New Zealand ,0.9579,6
Singapore ,0.962,5
Denmark ,0.9797,4
Republic of Korea ,0.9826,3
Finland ,0.9833,2
Estonia ,1,1
