Industry,Share_digital
"Arts, entertainment and recreation",0.0017708272
Real estate and rental and leasing,0.0047425324
Transportation and warehousing,0.0063895578
Management of companies and enterprises,0.0064823011
"Mining, quarrying, and oil and gas extraction",0.0134649682
Health care and social assistance,0.0149665468
Wholesale trade,0.0153310998
Manufacturing,0.0273577049
Other services (except public administration),0.0287714626
Educational services,0.0335740979
Retail trade,0.0349651004
Utilities,0.0630857362
Public administration,0.0721593874
Federal public service,0.0845474848
Information and cultural industries,0.0955352366
Construction,0.1476124975
Finance and insurance,0.2163228268
"Administrative and support, waste management and remediation services",0.3743973400
"Professional, scientific and technical services",0.8882204385
