Year,Country,Value
2022,Dominica ,0.7604
2022,Hungary ,0.7671
2022,Croatia ,0.7711
2022,Canada ,0.777
2022,Kuwait ,0.7774
2022,Italy ,0.786
2022,Serbia,0.7865
2022,Montenegro,0.7868
2022,Malaysia,0.7945
2022,Romania ,0.7954
2022,Bahamas ,0.7976
2022,Bulgaria ,0.7984
2022,Chile ,0.7999
2022,Oman ,0.8012
2022,China ,0.805
2022,Russian Federation ,0.8053
2022,San Marino ,0.811
2022,Seychelles ,0.8198
2022,Portugal ,0.8201
2022,Qatar ,0.8203
2022,Greece ,0.8206
2022,Slovenia ,0.8239
2022,Ireland ,0.8287
2022,Saint Kitts and Nevis ,0.8293
2022,Belgium ,0.8294
2022,Slovakia ,0.8328
2022,Poland ,0.8348
2022,Brunei Darussalam ,0.8372
2022,Latvia ,0.8378
2022,Belarus ,0.8426
2022,Czech Republic ,0.8456
2022,Austria,0.8505
2022,Uruguay ,0.8543
2022,Lithuania ,0.8636
2022,Saudi Arabia ,0.8735
2022,Singapore ,0.8758
2022,Monaco ,0.8794
2022,Andorra ,0.8812
2022,Australia ,0.8836
2022,United States of America ,0.8874
2022,Spain ,0.8895
2022,New Zealand ,0.8896
2022,Israel ,0.8915
2022,France,0.8944
2022,Estonia ,0.8949
2022,Germany ,0.8957
2022,Norway ,0.9102
2022,Finland ,0.9127
2022,Japan ,0.9147
2022,United Kingdom ,0.9186
2022,Malta ,0.9245
2022,Cyprus ,0.9253
2022,United Arab Emirates ,0.9306
2022,Switzerland ,0.945
2022,Luxembourg,0.9462
2022,Sweden ,0.958
2022,Netherlands ,0.962
2022,Republic of Korea ,0.9674
2022,Iceland ,0.9705
2022,Denmark ,0.9795
2022,Liechtenstein,1
